"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2994786","3061304","3142806","3229136","3316045","3402631","3493482","3592888","3694954","3704483","3787827","3873483","3963074","4055936","4151820","4417572","4416875","4570941","4696931","4799179","4902372","4776939","4929362","5186538","4978794","5103906","5306478","5663066","5684980","5705374","5664325","5912237","6114198",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63620325","65276714","66978150","68722270","70502971","70221615","72951024","74794611","77242077","79347235","81451849","84252471","85732532","88065748","90599379","91731711","92730992","93935308","95703669","95367508","94948394","97188186","98532617","99628945","101474161","102923211","104715941","106048382","107999623","101755860","106047171","108750811","108695239",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131957","131733","133917","136015","137944","136149","138366","138898","139642","142025","144594","143335","145813","147648","148408","145822","146641","147080","147741","148400","149131","146825","148815","143390","144417","148685","147106","146039","143823","141156","142587","145313","145851",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113338","116591","119729","123167","126936","131083","135638","140561","145756","151139","156664","161368","166039","170625","175084","179379","183516","187518","191393","195182","198598","200259","201720","203072","204352","205465","206363","218003","216668","217415","220478","225294","227798",
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233241","224272","214202","214781","217976","223397","228967","235334","243606","253413","263739","274716","286324","298501","309596","317730","324869","331983","338969","338303","341235","332058","342591","334024","342466","347144","352124","357395","385513","400715","414677","425882","429536",
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450374","466672","484077","501566","518909","536719","554164","571034","587962","604481","625334","645728","665680","685506","705453","725796","758244","792136","827046","805850","831878","856975","882334","908862","936988","967141","999039","1031385","1063621","1059196","1114453","1145189","1170359",
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1107861","1140216","1175151","1211500","1243719","1276445","1313476","1351682","1391731","1433483","1468932","1504732","1543643","1577159","1613398","1645147","1673132","1706464","1741734","1774166","1793790","1793122","1785269","1758702","1750494","1781329","1814579","1849419","1893277","1931806","1975774","2038648","2114113",
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14803644","14782203","14871263","15013489","15119721","15278818","15520772","15760787","16041716","16308539","16585664","17068694","17463547","17673742","17819057","18035498","18382598","18662575","18787385","18985430","19146806","19316264","19522293","19586757","19690129","19877599","20144985","20344108","20758436","20471068","20960467","21362740","21639790",
"Central Europe and the Baltics","CEB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52664029","52665175","52384290","52147453","51840322","51231443","51213450","51070670","51043679","50984065","50757592","49304975","48926879","48857006","48761162","48843159","48866290","48987664","49067599","49219183","48964338","49214544","49254837","49568737","49475467","49318573","49693005","49619778","49576679","49251678","48860362","48897197","48277271",
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3651650","3679073","3723681","3694903","3720552","3930223","3933090","3984074","3997007","3998257","4063211","4103899","4152300","4156364","4176950","4239193","4307257","4410392","4477063","4447671","4532800","4590579","4648458","4733088","4805361","4887055","4920490","4956328","4971006","4979813","4981500","4968223","4978943",
"Channel Islands","CHI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67982","68111","68003","68061","68438","69046","69639","70299","71047","71385","72528","73779","74801","75386","75957","76248","76590","77778","78969","79439","79266","79648","80202","80748","81524","82327","82902","83633","84417","83981","84888","85623","86239",
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5083624","5281186","5436013","5576581","5761481","5926506","6031946","6153951","6252432","6281817","6292422","6348066","6524560","6686711","6849194","7114930","7297902","7574753","7672069","7836109","8131735","8209415","8324494","8468946","8566113","8661001","8872208","9059235","9214285","8852361","9147766","9629968","9847754",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","647240828","655427871","663270310","671847538","681135001","691090313","702212322","712827235","722366758","731993935","739359562","747567965","755273046","762251057","769371812","774287037","776045127","776378230","775599063","774058132","778323480","778937997","779042510","780062420","780709584","780524312","778674707","776278514","775321104","763684716","780370660","781808304","779890786",
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4313060","4502225","4698567","4899754","5104826","5319302","5532659","5730465","5891255","6020615","6137014","6264404","6414848","6577439","6748108","6923835","7104515","7289697","7478860","7674193","7842038","7988446","8151021","8360975","8617882","8883562","9157647","9441715","9735200","9943686","10263449","10609451","10954094",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5201298","5354474","5514372","5679377","5848303","6025841","6210102","6398073","6587130","6779400","6982382","7197125","7418531","7642255","7867487","8098945","8341459","8418157","8476630","8515123","8654090","8788788","8923111","9090658","9409632","9710777","9995553","10284558","10593291","10815307","11098782","11592475","11965019",
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14897811","15322985","15806674","16715580","17476246","17614470","17677036","17991366","18473951","18989608","19577783","20197604","20794681","21419640","22106983","22552695","22999271","23426253","23839481","24288870","24786531","25253938","26115602","27012080","27914047","28894272","29889010","30825948","31747599","32441900","33694649","34812162","35983053",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941475","968978","998985","1029388","1058232","1087821","1107463","1129472","1163316","1221242","1280124","1311034","1351169","1405156","1464221","1527192","1589301","1642493","1713269","1788231","1842541","1885866","1920877","1958120","1998054","2041747","2089952","2141300","2195390","2227600","2306220","2384161","2461099",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14200058","14593760","15034238","15502313","15968478","16364411","16805518","17179755","17419997","17858301","18268713","18395453","19043693","19248116","19268760","19464939","19653416","20141224","21438903","21906084","22469752","23071179","23198264","23488075","23882464","24079276","24461484","24812159","25072923","25219253","25983568","25770913","26003385",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100655","103056","105282","107523","109882","112406","115064","117832","120076","121705","123384","125084","127488","130933","136156","141521","147019","152664","158474","164449","170591","176900","183361","189967","194996","200128","204998","209430","213692","216486","222655","228765","234437",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119861","122939","126589","130614","134896","139411","144118","148943","153844","158891","164071","169257","174444","179617","184772","189912","195035","200110","205079","209631","214157","218615","223037","227455","231746","235863","239923","228928","240383","232695","238872","251844","257317",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1182040","1199255","1255519","1305626","1370420","1363273","1460486","1546631","1594177","1619332","1704243","1737042","1790751","1799981","1920056","1943618","2012372","2037739","2064610","2060686","2149242","2321866","2337155","2395003","2380187","2296246","2335223","2459739","2573190","2456537","2529009","2542517","2407610",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418507","2449488","2477806","2513854","2551923","2582661","2618767","2650866","2675269","2712281","2740944","2776936","2820983","2876933","2920785","2955295","2986124","3020903","3008534","2996056","3034411","3087970","3151375","3210701","3296246","3314735","3351334","3386497","3420892","3326557","3413790","3450894","3517928",
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4378026","4371046","4341598","4365154","4389402","4429998","4457087","4481531","4531021","4581917","4624374","4661039","4708605","4765760","4842407","4919403","4974488","5012770","5148033","5108192","5177768","5206440","5235766","5258253","5292666","5308720","5326759","5342937","5345176","5016414","5106046","5286176","5317246",
"Curacao","CUW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359631","363014","370198","378547","387859","397997","408806","420076","431657","443417","466314","478400","499677","510413","525959","541559","562628","575504","585771","603570","609156","615106","620095","630237","621262","616189","625955","639464","650331","652883","667244","684941","692875",
"Czechia","CZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5010379","5050291","5089950","5143884","5166080","5168271","5178965","5195988","5213392","5174186","5144304","5137228","5128108","5128993","5169750","5191044","5188504","5211811","5255696","5239650","5222763","5254149","5302824","5300088","5309480","5354440","5386053","5425122","5421467","5375292","5279722","5372821","5404325",
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39804078","39606053","39581564","39633067","39488772","39594509","39749960","39817898","40025495","39865801","40029198","40056637","40236914","40039826","41239999","41693116","41861246","41917490","41978630","41949335","41729225","41853628","42212988","42458390","42660629","43567225","43819028","43935038","44433744","43501190","43386527","44198105","44368658",
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132851","131808","129116","131590","133087","136443","142601","150158","156527","161820","167547","172932","176043","177549","179409","181791","184940","188013","191254","194539","198551","202701","207030","211481","215965","220911","225672","230329","234947","235554","240479","249967","255564",
"Dominica","DMA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2903665","2924273","2898901","2775171","2793251","2827134","2841305","2832388","2861273","2853060","2841507","2868928","2868194","2895623","2893154","2917717","2924753","2918710","2909160","2888564","2887130","2871734","2850392","2865028","2895364","2939677","2966464","2990219","3032098","3028252","3070703","3141486","3169686",
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2536400","2618556","2694887","2764365","2842394","2921358","3006488","3088071","3168723","3246426","3246913","3331113","3342971","3424410","3480356","3593807","3660256","3757662","3690074","3844470","4015614","4176432","4236156","4325193","4579344","4685793","4752184","4931651","5091385","4805372","5101650","5174651","5301571",
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6633340","6870956","7149879","7429272","7681165","7968414","8233015","8477091","8701391","8926622","9145785","9355943","9556009","9747177","9916026","10077549","10244513","10402784","10551825","10832192","11067848","11293832","11793700","11279335","11709257","11918706","12069182","12225526","12402025","11881326","12202063","13023244","13425064",
"East Asia & Pacific (excluding high income)","EAP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","859238583","873081560","885394119","900856359","915602035","931076856","946469413","962961307","977952081","993074739","1005171898","1016198971","1027841967","1039623463","1050141611","1059615174","1070394268","1075889775","1079737780","1083468157","1094987263","1100992668","1103924325","1109744001","1114341788","1116951019","1117611593","1121658102","1125729760","1110660259","1127329621","1138110510","1141897221",
"Early-demographic dividend","EAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724579816","743769930","760487132","782295300","804163391","828894683","854555296","881201595","908026395","933141130","950877739","966478144","985099832","1004827167","1021910855","1044191605","1069571646","1090041927","1112444934","1135959141","1154219015","1172128943","1191673860","1209826452","1231375151","1251244983","1271627887","1292173293","1312227700","1301289539","1337817471","1382417654","1439875056",
"East Asia & Pacific","EAS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","959392259","974666716","987901906","1004628759","1020487630","1037292685","1053960042","1070323979","1085522027","1101378897","1114008802","1125196158","1136799075","1149121462","1160368289","1170732333","1182389222","1188466713","1192488990","1196632867","1208575750","1215055746","1218922038","1226046507","1231574481","1235387502","1237310906","1243088391","1248473343","1233004666","1249945908","1261847494","1266200230",
"Europe & Central Asia (excluding high income)","ECA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165814516","166128992","163360621","162967771","162935967","162303614","161052388","161091219","165871676","165688191","165225122","166623905","166684132","167115506","168150835","168852822","170731573","172527503","173872539","175397756","177312568","177947715","178877823","179766280","180766410","182121755","182747502","183503443","183546891","180202158","183139006","165240468","164556057",
"Europe & Central Asia","ECS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","391042867","390941696","388070575","388163663","388243169","388548461","388512896","389995877","396458958","397566952","397467844","399880765","402068125","403946473","407709298","410840032","414618407","418694552","420837023","422837738","424773968","427162679","429065722","431054208","432800304","435905506","437733884","439556692","440687927","434567412","438818160","423763776","424043061",
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4175767","4285355","4390122","4509956","4617500","4722823","4891099","5169290","5172094","5171107","5345861","5528235","5717711","6049202","6151040","6391164","6431063","6561532","6457726","6467670","6517322","6732540","6857058","7045425","7548658","7951902","8190955","8227052","8387366","7769265","8652009","8813437","8893065",
"Egypt, Arab Rep.","EGY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16171285","16784931","17515926","18400048","18571620","18866025","19171581","19483789","20736023","20772661","20792031","20589710","21665373","22756745","23853891","24954020","26081669","26485023","27281764","28739910","29061496","29544119","30181706","30655760","30540697","30927659","30428646","29899860","29708924","29873073","31447172","32614163","33430910",
"Euro area","EMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143607595","143148843","143411113","144144730","144300674","145300770","146194894","147556317","148973982","149936261","150332234","152252996","154429400","155671975","157755833","159484815","161167479","162804316","163183012","163277615","162981470","164067776","164570106","164979047","165317013","166577947","167178725","167827591","168553082","166041468","167765793","170356608","171359717",
"Eritrea","ERI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","901530","850062","882658","914687","985702","1044242","1041487","1042556","1046949","1055604","1082858","1121055","1172899","1225515","1247644","1264992","1281814","1324868","1367558","1401601","1438963","1467999","1496111","1508859","1517960","1526925","1544776","1575236","1610509","1633675","1684158","1749410","1800336",
"Spain","ESP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15616294","15839409","16072158","16414513","16540582","16812772","17144954","17408242","17726769","18242081","18127540","18960316","19731180","20419303","21197697","21880145","22508326","23150283","23364217","23482007","23558862","23569775","23332032","23091303","23036096","22977372","22897891","22930164","23139046","22838137","23384158","23687273","23788645",
"Estonia","EST","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","811761","775075","741339","727888","704564","690971","682829","671518","665985","672569","664742","653818","671446","672400","668522","690703","688602","694490","687516","681606","687098","683224","679674","674311","684580","691052","700098","703757","703307","703979","702984","734484","740661",
