"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104999126666.25","112333159706.556","121146403553.556","129861168621.307","137793895022.816","147888078765.41","157407191150.633","167310862810.645","177953220907.605","188888806685.216","203393133326.126","218534997531.514","230448205140.289","246134138758.545","265983851332.037","292254344180.56","321372682224.657","353355326629.098","381790053055.95","403622398437.762","431232354469.565","468647816773.515","531392989414.743","575260311160.402","623422026302.36","665524876435.777","728388162627.082","781590445240.211","858963438189.265","943289881661.417","988548283100.483","1104635601702.16","1266359016446.24","",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65784123287.7911","62265201981.5593","59052810173.9049","59557734506.6906","61935432504.0287","65043930673.7718","57255587977.3127","47789046532.4198","51007389094.0207","47685594922.3421","52475212633.7712","55752138957.788","62206511408.3791","65448461706.2333","71008354286.1809","78821727222.4838","86713133397.9063","96748334400.5408","107495331708.483","105567488043.46","110607803070.386","115717004314.022","119285054855.39","120959606863.095","127259694310.932","131974401558.928","143024158500","151834977177.159","161617474786.895","178072089592.718","178455323145.459","202250896943.406","229316160808.007","",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13313767889.9519","15309705679.4482","16706160236.2094","19303201194.1008","19666117520.7429","20867579696.4914","22123020634.4793","23200581590.5379","24585528466.9632","26004071347.1369","28002664526.8386","29346798120.2163","30802185154.6651","33387815395.3606","36677438753.2954","40388126701.9833","44326828395.8536","49300579352.8429","53384007743.8557","55090758632.4026","58169329411.6696","60555691596.7436","65875368137.9427","67716644746.8625","68275971746.1039","62523275420.368","63831285346.3079","71282082008.2729","74536780443.0771","77518079488.1841","74882206091.369","80335461876.3391","90171591975.265","",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5555809196.42225","5503504505.05505","5413585300.50487","5558964007.39965","5856456545.76368","6241077622.0549","6623769874.23342","6824760947.11522","7227109322.74532","7852544354.78187","8363584124.6624","8776588357.86153","9154477115.72254","9217067946.80942","9548003849.42542","10181838870.947","10760149672.5367","11210753290.5795","11160273386.7605","10762829721.2997","11059770341.4778","11358785000.8993","11738126207.1317","11535530729.1858","12162440273.973","12466874447.928","12715662048.7761","13593751984.1175","14326798230.954","14475356790.502","11216961298.6941","13711653937.7369","16785883372.2177","",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3548786318.24604","4376826530.98078","8421776703.55119","11513160800.3882","13459013107.5248","14958955355.4086","17250700962.1824","18001415822.4117","19914428802.3351","20549360446.2139","22395046392.0131","24398017490.0471","27916819190.5764","30848707744.5097","33896798435.4241","33729402373.8938","34633813862.7222","36525547925.0193","37145682499.1188","39027231660.8666","39811651044.0962","41678631829.6695","44799426324.1581","46723044238.0586","50326064714.5229","54962714927.7004","54010547105.0512","60118468608.4434","67743015917.7086","",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53250955614.2212","54391157055.7949","50290136486.8788","47569536579.0911","42900860192.7836","39245201752.3863","41082756162.0507","46555399163.3656","51034060747.0464","53512859536.7128","57899283413.578","62001283963.8196","66144476966.6181","72200530493.8391","82627376546.9153","93228959076.5861","105716172444.624","117910480745.245","132429460429.606","133544823538.793","145689092491.766","156715098657.899","171037674358.344","179366145726.605","179597347838.491","171204825316.404","168421837005.779","173629826921.652","183404174385.559","189394303488.369","190574660187.017","203993463197.108","208098911117.006","",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","814481364.95216","941204840.687909","1085259799.50202","1179175082.41983","1204114753.77058","1238357358.13434","1274969542.37106","1351876608.87279","1420313631.98778","1576054129.85276","1809049755.58158","1942178057.48685","2078941375.55951","2324871355.96584","2501408286.33033","2637099760.50437","2841112208.0466","3014097690.04489","3024641903.66965","3030309288.49177","3104753266.20483","3159811002.67892","3066134347.17599","3198253489.45694","3238326050.80371","3329036890.28927","3338503209.48567","3296810945.78078","3411705928.92548","3620030156.44727","3163690403.60207","3896330321.2479","4534938596.41605","",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2068741981.23927","2063112005.07248","2108867924.43701","2223805865.27062","2284912522.66975","2435449296.31369","2544534462.58418","2707480241.19794","2844734029.45805","2982406330.88787","3334145031.76884","3655493461.72759","3657603009.02598","3857001614.38818","4052473975.96067","4249526752.52499","4623506775.37574","4907300837.68478","4908095298.74214","4661620197.82517","4599566292.56937","4519405326.5993","4370872662.28833","4484628779.9265","4479895049.92416","4688793778.80788","4929475866.99318","5227044136.51153","5329538761.90086","5441762403.85505","5135811696.90466","5528291103.9543","6090735347.62651","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16283841547.8631","17721116844.6287","18423392428.3864","19665282457.4197","21022650005.1143","22467594792.2645","23876799317.3531","25491843210.6225","27075267754.7027","27574030464.4297","28905904150.2006","30054823271.6582","31281912250.3691","32764190064.686","35047766275.6842","37745009268.3395","40776162791.1297","43789629088.7436","47373527751.8864","49277693034.8021","51927900991.6518","55765337777.5774","61452959663.3131","69841188342.1911","75554052859.3584","77543289209.0962","82736157903.0732","94285208501.691","100629868205.778","104705782701.155","96803643569.0714","107334656623.296","119034423404.121","",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997366926074.862","1041738357708.64","1059681669190.55","1138222746883.53","1230569918658.67","1309440382639.62","1362869157897.32","1433436057292.62","1454470819899.7","1481869627084.83","1581938922711.13","1640061928804.67","1716481965947.43","1770327038984.75","1922557348334.82","2046338691498.66","2193057535043.85","2389038740946.66","2558895374170.58","2572056702791.35","2798924733572.41","2970630762099.6","2998534424980.65","3133893649534.8","3187155079572.03","3014754849735.88","2939094210373.69","3018705988834.89","3146415537923.59","3241959851105.39","3176647148134.66","3484965550401.36","3838531755776.88","",
